iter	Passed	Remaining
240	642	2023
241	643	2016
242	644	2008
243	645	2001
244	647	1993
245	648	1986
246	649	1979
247	650	1972
248	651	1965
249	652	1958
250	654	1952
251	655	1945
252	656	1938
253	657	1931
254	658	1924
255	659	1917
256	660	1910
257	661	1903
258	662	1896
259	663	1889
260	664	1882
261	666	1876
262	667	1869
263	668	1863
264	669	1857
265	670	1850
266	672	1845
267	673	1838
268	674	1831
269	674	1824
270	676	1818
271	677	1812
272	678	1805
273	679	1799
274	680	1793
275	681	1787
276	682	1781
277	683	1775
278	684	1769
279	686	1764
280	687	1758
281	688	1752
282	689	1745
283	690	1739
284	691	1734
285	692	1728
286	693	1722
287	694	1716
288	695	1711
289	696	1705
290	697	1700
291	699	1695
292	700	1689
293	701	1684
294	702	1678
295	703	1672
296	704	1667
297	705	1662
298	706	1657
299	708	1652
300	709	1647
301	710	1642
302	711	1636
303	712	1631
304	714	1627
305	715	1622
306	716	1617
307	717	1612
308	718	1606
309	719	1601
310	720	1596
311	721	1591
312	722	1586
313	723	1581
314	725	1577
315	726	1572
316	727	1567
317	729	1563
318	730	1558
319	731	1554
320	733	1550
321	734	1546
322	735	1541
323	736	1537
324	738	1533
325	739	1528
326	740	1524
327	741	1520
328	743	1516
329	745	1513
330	746	1508
331	747	1504
332	749	1500
333	750	1496
334	751	1492
335	753	1488
336	754	1484
337	755	1480
338	757	1476
339	758	1472
340	760	1469
341	761	1465
342	763	1462
343	764	1458
344	766	1455
345	768	1451
346	769	1448
347	771	1444
348	772	1440
349	774	1438
350	775	1434
351	777	1431
352	778	1427
353	780	1423
354	781	1419
355	782	1416
356	784	1412
357	785	1408
358	786	1404
359	788	1401
360	789	1398
361	791	1394
362	792	1391
363	794	1388
364	795	1384
365	796	1380
366	798	1376
367	799	1372
368	800	1368
369	801	1365
370	803	1361
371	804	1358
372	806	1355
373	808	1352
374	809	1349
375	810	1345
376	812	1342
377	813	1338
378	814	1335
379	816	1332
380	818	1329
381	820	1326
382	821	1324
383	823	1320
384	824	1317
385	825	1313
386	826	1309
387	828	1306
388	829	1302
389	830	1299
390	831	1295
391	833	1292
392	834	1289
393	836	1287
394	838	1283
395	839	1280
396	840	1276
397	841	1273
398	843	1270
399	844	1267
400	846	1264
401	847	1261
402	849	1258
403	851	1256
404	853	1253
405	854	1250
406	855	1247
407	857	1243
408	858	1240
409	859	1237
410	861	1234
411	862	1231
412	864	1228
413	865	1225
414	867	1222
415	868	1219
416	870	1216
417	871	1213
418	872	1210
419	873	1206
420	875	1203
421	876	1200
422	878	1197
423	880	1195
424	881	1192
425	882	1189
426	884	1186
427	885	1183
428	886	1180
429	888	1177
430	889	1174
431	890	1171
432	892	1168
433	894	1166
434	896	1164
435	897	1161
436	898	1158
437	900	1155
438	901	1151
439	902	1148
440	903	1145
441	905	1142
442	906	1139
443	908	1137
444	909	1134
445	911	1132
446	913	1129
447	914	1126
448	916	1124
449	917	1121
450	919	1118
451	920	1115
452	922	1113
453	924	1111
454	925	1109
